State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Kochi,"BMS|JMaxByGejoTheatre2KDolby71ACPattimatto",Malayalam,10:30,Silver,₹140,18,0
Kerala,Erattupetta,"BMS|SuryaTheater4KDolbyAtmosErattupetta",Malayalam,10:30,Platinum3D,₹330,20,6
Kerala,Erattupetta,"BMS|SuryaTheater4KDolbyAtmosErattupetta",Malayalam,10:30,Gold3D,₹180,294,84
Kerala,Karunagapally,"BMS|KrishnaACKarunagappally2KDolby71",Malayalam,10:30,Platinum,₹170,54,2
Kerala,Karunagapally,"BMS|KrishnaACKarunagappally2KDolby71",Malayalam,10:30,Gold,₹125,251,46
Kerala,Kothamangalam,"BMS|AnnCinemaComplex4K3DDolbyAtmosRgbLaser",Malayalam,10:30,Platinum,₹150,576,19
Kerala,Palakkad,"BMS|AromaTheatrePalakkad",Tamil,10:30,Red3D,₹159,246,0
Kerala,Palakkad,"BMS|AromaTheatrePalakkad",Tamil,10:30,Blue3D,₹140,320,0
Kerala,Palakkad,"BMS|VCinemasSreeDeviDurgaPalakkad",Tamil,10:30,Sofa3D,₹210,89,4
Kerala,Palakkad,"BMS|VCinemasSreeDeviDurgaPalakkad",Tamil,10:30,GoldCircle3D,₹159.8,339,6
Kerala,Kanhangad,"BMS|VgmMultiplexAC2K71Dolby",Malayalam,10:30,VgmBlue,₹190,241,23
Kerala,Vadakara,"BMS|One2OnePlusFilmCity4K3DDolbyAtmosVadakara",Malayalam,10:30,Screen1,₹129.8,300,0
Kerala,Kanhangad,"BMS|DeepthiCinemasAC2KDolbyAtmosKanhangad",Malayalam,10:30,Gold3D,₹180,185,25
Kerala,Pathanapuram,"BMS|SeemaCineplexPathanapuram",Malayalam,10:30,Audi1,₹160,206,0
Kerala,Kollengode,"PTM|GowriMovieHouse2KDolby71Kollengode",Tamil,10:40,FirstClass,₹110,201,0
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,10:40,Normal,₹200,38,12
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,10:40,Executive,₹220,69,4
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,10:40,Premium,₹240,56,0
Kerala,Angamaly,"BMS|MyCinemasKsrtComplexAngamalyKerala",Malayalam,10:40,Platinum,₹160,110,9
Kerala,Angamaly,"BMS|MyCinemasKsrtComplexAngamalyKerala",Malayalam,10:40,GoldOffline,₹150,188,9
Kerala,Pandikkad,"PTM|IllamCinemas4KDolbyAtmosPandikkad",Malayalam,10:40,DiamondCircle,₹129.8,253,0
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,10:45,Platinum3DChargesInclusive,₹510,54,15
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,10:45,Gold3DChargesInclusive,₹210,380,188
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,10:45,Executive3DChargesInclusive,₹190,475,143
Kerala,Changanassery,"BMS|DhanyaRemyaChanganassery",Malayalam,10:45,Dhanya,₹135,423,7
Kerala,Kottayam,"BMS|DhanyaRemyaKottayam",Malayalam,10:45,Remya,₹135,251,3
Kerala,Pathanamthitta,"BMS|DhanyaRemyaPathanamthitta",Malayalam,10:45,DhanyaCircle,₹135,422,120
Kerala,Kochi,"BMS|VanithaCineplexRgbLaser4K3DAtmosEdappally",Malayalam,10:45,Screen3,₹200,234,61
Kerala,Kochi,"BMS|VanithaCineplexRgbLaser4K3DAtmosEdappally",Malayalam,10:45,BalconySofa,₹280,63,15
Kerala,Kollam,"BMS|MyCinemasRpMallKollamKerala",Malayalam,10:45,3DPremiumPackage210,₹210,96,34
Kerala,Kollam,"BMS|DhanyaRemyaKollam",Malayalam,10:45,Daimond,₹135,529,44
Kerala,Kozhikode,"BMS|KairaliSreeTheatreKozhikode",Malayalam,10:45,Platinum,₹180,214,1
Kerala,Kozhikode,"BMS|KairaliSreeTheatreKozhikode",Malayalam,10:45,Gold,₹150,486,12
Kerala,Mananthavady,"PTM|MaruthiECinemas4KAtmosMananthavady",Malayalam,10:45,Sofa,₹140,42,0
