State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Kattanam,"PTM|GanamTheatreComplexACKattanam",Tamil,21:30,FirstClass,₹150,202,0
Kerala,Koppam,"BMS|SyndicateCinemasKoppam4KDolbyAtmosRgbLaser",Tamil,21:30,Platinum,₹250,16,0
Kerala,Koppam,"BMS|SyndicateCinemasKoppam4KDolbyAtmosRgbLaser",Tamil,21:30,Gold,₹129,166,0
Kerala,Koppam,"BMS|SyndicateCinemasKoppam4KDolbyAtmosRgbLaser",Tamil,21:30,PlatinumCouple,₹250,4,0
Kerala,Ottapalam,"PTM|LadderCinemasOttapalam",Tamil,21:30,Executive,₹150,214,0
Kerala,Trivandrum,"BMS|SreePadmanabhaTheatreScreen2EastFort",Tamil,21:30,Devipriya,₹150,186,4
Kerala,Valanchery,"PTM|PopularFilmCityACPerinthalmannaRoad",Tamil,21:30,DiamondCircle,₹110,181,7
Kerala,Kochi,"BMS|PvrOberonMallKochi",Tamil,21:45,ClassicPlus,₹160,104,42
Kerala,Kochi,"BMS|PvrOberonMallKochi",Tamil,21:45,Classic,₹140,54,5
Kerala,Trivandrum,"BMS|SreeKaleeswarySreeSaraswathy2K3DKaliyikkav",Tamil,21:45,RoyalCircle,₹150,87,0
Kerala,Kollam,"BMS|JbCinemas4K3DNallila",Tamil,21:45,Blue,₹129.83,242,8
Kerala,Trivandrum,"BMS|GreenfieldMoviemaxCinemasTrivandrum",Tamil,22:00,Executive,₹150,132,43
Kerala,Perinthalmanna,"PTM|MallikaPlexChithralayaAngadipuram",Tamil,22:00,Executive,₹100,174,0
Kerala,Trivandrum,"BMS|PvrKripaThampanoorTrivandrum",Tamil,22:15,Prime,₹180,16,10
Kerala,Trivandrum,"BMS|PvrKripaThampanoorTrivandrum",Tamil,22:15,Classic,₹160,196,33
Kerala,Kochi,"BMS|PvrLuluKochi",Tamil,22:30,Recliner,₹400,14,12
Kerala,Kochi,"BMS|PvrLuluKochi",Tamil,22:30,Prime,₹160,125,57
Kerala,Kochi,"BMS|PvrLuluKochi",Tamil,22:30,ClassicPlus,₹140,108,32
Kerala,Kochi,"BMS|PvrLuluKochi",Tamil,22:30,Classic,₹110,54,2
Kerala,Kochi,"BMS|CinepolisVipCentreSquareMallKochi",Tamil,23:00,VipExecutive,₹350,20,0
Kerala,Kochi,"BMS|CinepolisVipCentreSquareMallKochi",Tamil,23:00,VipPremium,₹400,53,29
